Most important legitimate n_grams
1202. oot - freq: 31
1203. pe= - freq: 31
1204. php - freq: 31
1205. qui - freq: 31
1206. rag - freq: 31
1207. s/t - freq: 31
1208. t-b - freq: 31
1209. t_i - freq: 31
1210. ump - freq: 31
1211. -cu - freq: 30
1212. -ro - freq: 30
1213. .st - freq: 30
1214. 003 - freq: 30
1215. 1/0 - freq: 30
1216. 8b_ - freq: 30
1217. =1& - freq: 30
1218. =hp - freq: 30
1219. _%e - freq: 30
1220. ad/ - freq: 30
1221. am- - freq: 30
1222. b_% - freq: 30
1223. cas - freq: 30
1224. egi - freq: 30
1225. esp - freq: 30
1226. ets - freq: 30
1227. ffe - freq: 30
1228. ict - freq: 30
1229. id% - freq: 30
1230. leb - freq: 30
1231. lid - freq: 30
1232. lig - freq: 30
1233. lla - freq: 30
1234. mis - freq: 30
1235. nan - freq: 30
1236. nid - freq: 30
1237. ond - freq: 30
1238. ot- - freq: 30
1239. rd- - freq: 30
1240. rel - freq: 30
1241. rig - freq: 30
1242. rni - freq: 30
1243. rt. - freq: 30
1244. sor - freq: 30
1245. sts - freq: 30
1246. sub - freq: 30
1247. unc - freq: 30
1248. urn - freq: 30
1249. y-c - freq: 30
1250. -go - freq: 29
1251. -gu - freq: 29
1252. .ch - freq: 29
1253. //f - freq: 29
1254. /it - freq: 29
1255. /su - freq: 29
1256. 001 - freq: 29
1257. 1%e - freq: 29
1258. 8b/ - freq: 29
1259. 8be - freq: 29
1260. 9%e - freq: 29
1261. =ho - freq: 29
1262. ??? - freq: 29
1263. a-a - freq: 29
1264. b/% - freq: 29
1265. bou - freq: 29
1266. cul - freq: 29
1267. d-s - freq: 29
1268. dar - freq: 29
1269. e-r - freq: 29
1270. ela - freq: 29
1271. erg - freq: 29
1272. fic - freq: 29
1273. gaz - freq: 29
1274. l-m - freq: 29
1275. llo - freq: 29
1276. n-e - freq: 29
1277. ni- - freq: 29
1278. nt. - freq: 29
1279. oca - freq: 29
1280. olu - freq: 29
1281. orn - freq: 29
1282. rav - freq: 29
1283. re/ - freq: 29
1284. to/ - freq: 29
1285. two - freq: 29
1286. vit - freq: 29
1287. y-s - freq: 29
1288. %26 - freq: 28
1289. %3a - freq: 28
1290. %be - freq: 28
1291. -%e - freq: 28
1292. -cl - freq: 28
1293. -dr - freq: 28
1294. -gr - freq: 28
1295. .ga - freq: 28
1296. .ho - freq: 28
1297. //w - freq: 28
1298. /an - freq: 28
1299. 500 - freq: 28
1300. 6%a - freq: 28
1301. _in - freq: 28
1302. an. - freq: 28
1303. don - freq: 28
1304. e/2 - freq: 28
1305. e/a - freq: 28
1306. ed. - freq: 28
1307. efi - freq: 28
1308. elo - freq: 28
1309. ena - freq: 28
1310. f%2 - freq: 28
1311. gal - freq: 28
1312. hen - freq: 28
1313. il- - freq: 28
1314. l-c - freq: 28
1315. lth - freq: 28
1316. mot - freq: 28
1317. nar - freq: 28
1318. nov - freq: 28
1319. nt= - freq: 28
1320. o-p - freq: 28
1321. op- - freq: 28
1322. pec - freq: 28
1323. ppo - freq: 28
1324. rge - freq: 28
1325. rre - freq: 28
1326. t-d - freq: 28
1327. tid - freq: 28
1328. ute - freq: 28
1329. x.h - freq: 28
1330. %ac - freq: 27
1331. %ae - freq: 27
1332. -el - freq: 27
1333. -ri - freq: 27
1334. .la - freq: 27
1335. //i - freq: 27
1336. /be - freq: 27
1337. /br - freq: 27
1338. /so - freq: 27
1339. 12/ - freq: 27
1340. 2f% - freq: 27
1341. 4%e - freq: 27
1342. 419 - freq: 27
1343. 87- - freq: 27
1344. 8b0 - freq: 27
1345. 8b2 - freq: 27
1346. a-l - freq: 27
1347. ac% - freq: 27
1348. ada - freq: 27
1349. ay. - freq: 27
1350. bes - freq: 27
1351. br/ - freq: 27
1352. bro - freq: 27
1353. cad - freq: 27
1354. cco - freq: 27
1355. cin - freq: 27
1356. cio - freq: 27
1357. cs/ - freq: 27
1358. d%3 - freq: 27
1359. e-n - freq: 27
1360. eam - freq: 27
1361. eng - freq: 27
1362. etr - freq: 27
1363. fac - freq: 27
1364. g-a - freq: 27
1365. gle - freq: 27
1366. gnu - freq: 27
1367. ir- - freq: 27
1368. ira - freq: 27
1369. ish - freq: 27
1370. key - freq: 27
1371. ls/ - freq: 27
1372. m.b - freq: 27
1373. m/? - freq: 27
1374. mor - freq: 27
1375. nex - freq: 27
1376. nga - freq: 27
1377. nia - freq: 27
1378. no- - freq: 27
1379. ogo - freq: 27
1380. oth - freq: 27
1381. pic - freq: 27
1382. r/c - freq: 27
1383. r/p - freq: 27
1384. r/s - freq: 27
1385. rdi - freq: 27
1386. rem - freq: 27
1387. s-n - freq: 27
1388. sic - freq: 27
1389. t-i - freq: 27
1390. toc - freq: 27
1391. ula - freq: 27
1392. us. - freq: 27
1393. w.c - freq: 27
1394. xpr - freq: 27
1395. %b2 - freq: 26
1396. -am - freq: 26
1397. -ap - freq: 26
1398. -as - freq: 26
1399. -gi - freq: 26
1400. .tw - freq: 26
1401. /%d - freq: 26
1402. /13 - freq: 26
1403. /?u - freq: 26
1404. /da - freq: 26
1405. /ge - freq: 26
1406. /ha - freq: 26
1407. /no - freq: 26
1408. /wa - freq: 26
1409. 104 - freq: 26
1410. 3a% - freq: 26
1411. ats - freq: 26
1412. ava - freq: 26
1413. b8% - freq: 26
1414. d-p - freq: 26
1415. ebr - freq: 26
1416. ede - freq: 26
1417. emi - freq: 26
1418. fan - freq: 26
1419. iss - freq: 26
1420. it. - freq: 26
1421. lem - freq: 26
1422. lor - freq: 26
1423. mp- - freq: 26
1424. mul - freq: 26
1425. nki - freq: 26
1426. nos - freq: 26
1427. nto - freq: 26
1428. nup - freq: 26
1429. os/ - freq: 26
1430. osi - freq: 26
1431. pid - freq: 26
1432. r-b - freq: 26
1433. r/f - freq: 26
1434. rri - freq: 26
1435. s.t - freq: 26
1436. sa- - freq: 26
1437. se/ - freq: 26
1438. t-f - freq: 26
1439. t-w - freq: 26
1440. tba - freq: 26
1441. tho - freq: 26
1442. ual - freq: 26
1443. udi - freq: 26
1444. ume - freq: 26
1445. url - freq: 26
1446. ut- - freq: 26
1447. wal - freq: 26
1448. way - freq: 26
1449. wil - freq: 26
1450. %b6 - freq: 25
1451. %e6 - freq: 25
1452. -18 - freq: 25
1453. -ev - freq: 25
1454. -ge - freq: 25
1455. -i- - freq: 25
1456. .bi - freq: 25
1457. .po - freq: 25
1458. .ta - freq: 25
1459. //o - freq: 25
1460. /12 - freq: 25
1461. /ab - freq: 25
1462. /mu - freq: 25
1463. 007 - freq: 25
1464. 09/ - freq: 25
1465. 10- - freq: 25
1466. 101 - freq: 25
1467. 7%e - freq: 25
1468. 8bi - freq: 25
1469. 8bn - freq: 25
1470. _re - freq: 25
1471. aba - freq: 25
1472. aci - freq: 25
1473. ar/ - freq: 25
1474. ays - freq: 25
1475. b5% - freq: 25
1476. b7% - freq: 25
1477. bi% - freq: 25
1478. bin - freq: 25
1479. bn% - freq: 25
1480. box - freq: 25
1481. ctu - freq: 25
1482. def - freq: 25
1483. e6% - freq: 25
1484. eba - freq: 25
1485. eo/ - freq: 25
1486. fli - freq: 25
1487. fra - freq: 25
1488. fut - freq: 25
1489. ge. - freq: 25
1490. hel - freq: 25
1491. i%e - freq: 25
1492. id. - freq: 25
1493. ila - freq: 25
1494. ilm - freq: 25
1495. inv - freq: 25
1496. ks- - freq: 25
1497. mac - freq: 25
1498. my- - freq: 25
1499. n%e - freq: 25
1500. nch - freq: 25
1501. nom - freq: 25
1502. ntc - freq: 25
1503. o-b - freq: 25
1504. o-c - freq: 25
1505. pat - freq: 25
1506. r-c - freq: 25
1507. r-m - freq: 25
1508. rot - freq: 25
1509. s/m - freq: 25
1510. scr - freq: 25
1511. she - freq: 25
1512. spm - freq: 25
1513. sun - freq: 25
1514. to. - freq: 25
1515. ty/ - freq: 25
1516. uar - freq: 25
1517. ue- - freq: 25
1518. van - freq: 25
1519. win - freq: 25
1520. ws- - freq: 25
1521. y-a - freq: 25
1522. ys- - freq: 25
1523. %ad - freq: 24
1524. -ke - freq: 24
1525. -qu - freq: 24
1526. -va - freq: 24
1527. .ed - freq: 24
1528. .so - freq: 24
1529. /.j - freq: 24
1530. /14 - freq: 24
1531. /cr - freq: 24
1532. /ro - freq: 24
1533. 180 - freq: 24
1534. 2%d - freq: 24
1535. 86- - freq: 24
1536. 8ba - freq: 24
1537. 8br - freq: 24
1538. a-r - freq: 24
1539. apa - freq: 24
1540. arm - freq: 24
1541. b1- - freq: 24
1542. bea - freq: 24
1543. br% - freq: 24
1544. buy - freq: 24
1545. ck. - freq: 24
1546. d-a - freq: 24
1547. da% - freq: 24
1548. dic - freq: 24
1549. die - freq: 24
1550. do- - freq: 24
1551. een - freq: 24
1552. erd - freq: 24
1553. esc - freq: 24
1554. ext - freq: 24
1555. ffi - freq: 24
1556. fri - freq: 24
1557. gro - freq: 24
1558. hit - freq: 24
1559. hol - freq: 24
1560. hor - freq: 24
1561. ic/ - freq: 24
1562. ink - freq: 24
1563. lon - freq: 24
1564. ly. - freq: 24
1565. m/u - freq: 24
1566. mpl - freq: 24
1567. ms- - freq: 24
1568. n-m - freq: 24
1569. nds - freq: 24
1570. nel - freq: 24
1571. nlo - freq: 24
1572. oci - freq: 24
1573. og. - freq: 24
1574. om= - freq: 24
1575. r%e - freq: 24
1576. rip - freq: 24
1577. row - freq: 24
1578. s-2 - freq: 24
1579. s/d - freq: 24
1580. s/w - freq: 24
1581. sam - freq: 24
1582. t-r - freq: 24
1583. t/s - freq: 24
1584. tag - freq: 24
1585. tma - freq: 24
1586. ubl - freq: 24
1587. wha - freq: 24
1588. wnl - freq: 24
1589. y-t - freq: 24
1590. ya- - freq: 24
1591. %da - freq: 23
1592. -fe - freq: 23
1593. -id - freq: 23
1594. -ju - freq: 23
1595. -wh - freq: 23
1596. .ex - freq: 23
1597. .na - freq: 23
1598. //h - freq: 23
1599. //u - freq: 23
1600. /18 - freq: 23
1601. /bi - freq: 23
1602. /fe - freq: 23
1603. /pl - freq: 23
1604. /to - freq: 23
1605. 1-% - freq: 23
1606. 1.h - freq: 23
1607. =10 - freq: 23
1608. a-b - freq: 23
1609. a-e - freq: 23
1610. a-n - freq: 23
1611. aca - freq: 23
1612. ae% - freq: 23
1613. bac - freq: 23
1614. bli - freq: 23
1615. cer - freq: 23
1616. ch. - freq: 23
1617. d-o - freq: 23
1618. ds/ - freq: 23
1619. e-1 - freq: 23
1620. e/s - freq: 23
1621. efe - freq: 23
1622. er_ - freq: 23
1623. erl - freq: 23
1624. ew. - freq: 23
1625. f-% - freq: 23
1626. fee - freq: 23
1627. fid - freq: 23
1628. ft. - freq: 23
1629. g-s - freq: 23
1630. has - freq: 23
1631. hil - freq: 23
1632. hos - freq: 23
1633. im- - freq: 23
1634. ir/ - freq: 23
1635. its - freq: 23
1636. li- - freq: 23
1637. lou - freq: 23
1638. mbe - freq: 23
1639. mem - freq: 23
1640. mod - freq: 23
1641. nci - freq: 23
1642. nsi - freq: 23
1643. ol- - freq: 23
1644. ovi - freq: 23
1645. r-d - freq: 23
1646. r-f - freq: 23
1647. r-r - freq: 23
1648. rei - freq: 23
1649. rma - freq: 23
1650. rne - freq: 23
1651. rth - freq: 23
1652. s-g - freq: 23
1653. se. - freq: 23
1654. sht - freq: 23
1655. sim - freq: 23
1656. spa - freq: 23
1657. spx - freq: 23
1658. stu - freq: 23
1659. sul - freq: 23
1660. t-o - freq: 23
1661. ty. - freq: 23
1662. uit - freq: 23
1663. utu - freq: 23
1664. woo - freq: 23
1665. y-b - freq: 23
1666. zer - freq: 23
1667. %9f - freq: 22
1668. -ad - freq: 22
1669. -af - freq: 22
1670. -es - freq: 22
1671. -ex - freq: 22
1672. -fl - freq: 22
1673. -it - freq: 22
1674. -s- - freq: 22
1675. -vo - freq: 22
1676. -za - freq: 22
1677. .al - freq: 22
1678. .bl - freq: 22
1679. .bo - freq: 22
1680. .di - freq: 22
1681. .ir - freq: 22
1682. .wi - freq: 22
1683. /.x - freq: 22
1684. /cu - freq: 22
1685. 112 - freq: 22
1686. 5%a - freq: 22
1687. 6%9 - freq: 22
1688. 8b9 - freq: 22
1689. 9-% - freq: 22
1690. =%3 - freq: 22
1691. _ho - freq: 22
1692. abe - freq: 22
1693. adv - freq: 22
1694. arn - freq: 22
1695. ary - freq: 22
1696. aya - freq: 22
1697. azi - freq: 22
1698. cks - freq: 22
1699. clo - freq: 22
1700. cod - freq: 22
1701. ct- - freq: 22
1702. cto - freq: 22
1703. cus - freq: 22
1704. d=2 - freq: 22
1705. ds. - freq: 22
1706. eet - freq: 22
1707. ega - freq: 22
1708. ek- - freq: 22
1709. emo - freq: 22
1710. erf - freq: 22
1711. esk - freq: 22
1712. hy- - freq: 22
1713. ifi - freq: 22
1714. iki - freq: 22
1715. imp - freq: 22
1716. iva - freq: 22
1717. ke- - freq: 22
1718. ken - freq: 22
1719. led - freq: 22
1720. lio - freq: 22
1721. los - freq: 22
1722. low - freq: 22
1723. lus - freq: 22
1724. m%2 - freq: 22
1725. ney - freq: 22
1726. nme - freq: 22
1727. now - freq: 22
1728. o-d - freq: 22
1729. oan - freq: 22
1730. oda - freq: 22
1731. ola - freq: 22
1732. opi - freq: 22
1733. or. - freq: 22
1734. ota - freq: 22
1735. qua - freq: 22
1736. rme - freq: 22
1737. s-v - freq: 22
1738. sh- - freq: 22
1739. ss/ - freq: 22
1740. sso - freq: 22
1741. tas - freq: 22
1742. tun - freq: 22
1743. tw/ - freq: 22
1744. uth - freq: 22
1745. wel - freq: 22
1746. y-p - freq: 22
1747. -13 - freq: 21
1748. -or - freq: 21
1749. .fi - freq: 21
1750. .no - freq: 21
1751. .pl - freq: 21
1752. .ua - freq: 21
1753. /he - freq: 21
1754. /le - freq: 21
1755. 0.h - freq: 21
1756. 166 - freq: 21
1757. 200 - freq: 21
1758. 3%e - freq: 21
1759. 3d2 - freq: 21
1760. 8b1 - freq: 21
1761. 8bm - freq: 21
1762. ?id - freq: 21
1763. ?in - freq: 21
1764. a%a - freq: 21
1765. abc - freq: 21
1766. ad% - freq: 21
1767. aki - freq: 21
1768. b%e - freq: 21
1769. bm% - freq: 21
1770. bor - freq: 21
1771. ca. - freq: 21
1772. ce_ - freq: 21
1773. co- - freq: 21
1774. coo - freq: 21
1775. cos - freq: 21
1776. d-i - freq: 21
1777. dev - freq: 21
1778. dig - freq: 21
1779. dra - freq: 21
1780. dro - freq: 21
1781. e%2 - freq: 21
1782. e-2 - freq: 21
1783. eac - freq: 21
1784. eno - freq: 21
1785. esu - freq: 21
1786. eur - freq: 21
1787. f%e - freq: 21
1788. foo - freq: 21
1789. g/t - freq: 21
1790. ht_ - freq: 21
1791. i-a - freq: 21
1792. i-s - freq: 21
1793. isa - freq: 21
1794. iso - freq: 21
1795. ize - freq: 21
1796. job - freq: 21
1797. lut - freq: 21
1798. m%e - freq: 21
1799. mme - freq: 21
1800. nt_ - freq: 21
1801. ntu - freq: 21
1802. o-e - freq: 21
1803. oes - freq: 21
1804. ogr - freq: 21
1805. pac - freq: 21
1806. pm= - freq: 21
1807. pti - freq: 21
1808. ra. - freq: 21
1809. s/n - freq: 21
1810. s/r - freq: 21
1811. ses - freq: 21
1812. sia - freq: 21
1813. st/ - freq: 21
1814. stm - freq: 21
1815. sty - freq: 21
1816. t-h - freq: 21
1817. ta. - freq: 21
1818. te/ - freq: 21
1819. tot - freq: 21
1820. ua/ - freq: 21
1821. um- - freq: 21
1822. uro - freq: 21
1823. zin - freq: 21
1824. -du - freq: 20
1825. -jo - freq: 20
1826. -ko - freq: 20
1827. .am - freq: 20
1828. /?i - freq: 20
1829. /?r - freq: 20
1830. /el - freq: 20
1831. /qu - freq: 20
1832. /ra - freq: 20
1833. /ve - freq: 20
1834. /wi - freq: 20
1835. 1-1 - freq: 20
1836. 183 - freq: 20
1837. 303 - freq: 20
1838. 5%e - freq: 20
1839. ?sp - freq: 20
1840. _pr - freq: 20
1841. a-1 - freq: 20
1842. a-v - freq: 20
1843. aa- - freq: 20
1844. acr - freq: 20
1845. arl - freq: 20
1846. bat - freq: 20
1847. cla - freq: 20
1848. ct_ - freq: 20
1849. e/1 - freq: 20
1850. em- - freq: 20
1851. ema - freq: 20
1852. eo. - freq: 20
1853. etu - freq: 20
1854. fes - freq: 20
1855. gis - freq: 20
1856. git - freq: 20
1857. glo - freq: 20
1858. gne - freq: 20
1859. gs- - freq: 20
1860. ha- - freq: 20
1861. i-b - freq: 20
1862. iba - freq: 20
1863. ich - freq: 20
1864. id- - freq: 20
1865. ike - freq: 20
1866. kon - freq: 20
1867. ll. - freq: 20
1868. lly - freq: 20
1869. lot - freq: 20
1870. mid - freq: 20
1871. n-g - freq: 20
1872. n-u - freq: 20
1873. nai - freq: 20
1874. nis - freq: 20
1875. om% - freq: 20
1876. on= - freq: 20
1877. onf - freq: 20
1878. ott - freq: 20
1879. phi - freq: 20
1880. pin - freq: 20
1881. pix - freq: 20
1882. pl/ - freq: 20
1883. plu - freq: 20
1884. pot - freq: 20
1885. r-l - freq: 20
1886. rd. - freq: 20
1887. rio - freq: 20
1888. rve - freq: 20
1889. s/e - freq: 20
1890. sav - freq: 20
1891. sli - freq: 20
1892. sne - freq: 20
1893. tak - freq: 20
1894. tto - freq: 20
1895. tv. - freq: 20
1896. tyl - freq: 20
1897. urk - freq: 20
1898. why - freq: 20
1899. %b0 - freq: 19
1900. %b5 - freq: 19
1901. &re - freq: 19
1902. -%c - freq: 19
1903. -12 - freq: 19
1904. -em - freq: 19
1905. -fu - freq: 19
1906. -ov - freq: 19
1907. -sm - freq: 19
1908. .av - freq: 19
1909. .ci - freq: 19
1910. .do - freq: 19
1911. .fo - freq: 19
1912. .mo - freq: 19
1913. .ol - freq: 19
1914. .su - freq: 19
1915. .vi - freq: 19
1916. 116 - freq: 19
1917. 300 - freq: 19
1918. 301 - freq: 19
1919. 85- - freq: 19
1920. _%d - freq: 19
1921. ads - freq: 19
1922. alu - freq: 19
1923. ao. - freq: 19
1924. as/ - freq: 19
1925. awa - freq: 19
1926. bab - freq: 19
1927. bas - freq: 19
1928. ca/ - freq: 19
1929. d-d - freq: 19
1930. d-w - freq: 19
1931. d=5 - freq: 19
1932. dio - freq: 19
1933. dle - freq: 19
1934. e%d - freq: 19
1935. e-k - freq: 19
1936. e/n - freq: 19
1937. ebs - freq: 19
1938. ege - freq: 19
1939. el/ - freq: 19
1940. els - freq: 19
1941. eos - freq: 19
1942. erb - freq: 19
1943. ew/ - freq: 19
1944. exi - freq: 19
1945. f%8 - freq: 19
1946. far - freq: 19
1947. fau - freq: 19
1948. fte - freq: 19
1949. g/a - freq: 19
1950. hab - freq: 19
1951. ham - freq: 19
1952. hre - freq: 19
1953. i-k - freq: 19
1954. i-p - freq: 19
1955. il. - freq: 19
1956. io- - freq: 19
1957. io/ - freq: 19
1958. irs - freq: 19
1959. itl - freq: 19
1960. lco - freq: 19
1961. lob - freq: 19
1962. luk - freq: 19
1963. lx. - freq: 19
1964. m=a - freq: 19
1965. ma- - freq: 19
1966. may - freq: 19
1967. mee - freq: 19
1968. mel - freq: 19
1969. mov - freq: 19
1970. n/p - freq: 19
1971. nac - freq: 19
1972. nco - freq: 19
1973. nfi - freq: 19
1974. nik - freq: 19
1975. nke - freq: 19
1976. nou - freq: 19
1977. ns. - freq: 19
1978. ogl - freq: 19
1979. oid - freq: 19
1980. oin - freq: 19
1981. ole - freq: 19
1982. olx - freq: 19
1983. oud - freq: 19
1984. oup - freq: 19
1985. pas - freq: 19
1986. pub - freq: 19
1987. r-e - freq: 19
1988. r-g - freq: 19
1989. rak - freq: 19
1990. ro/ - freq: 19
1991. roc - freq: 19
1992. rol - freq: 19
1993. rra - freq: 19
1994. rsi - freq: 19
1995. rty - freq: 19
1996. rus - freq: 19
1997. s%2 - freq: 19
1998. s-l - freq: 19
1999. s/3 - freq: 19
2000. s/f - freq: 19
2001. s/i - freq: 19
2002. sat - freq: 19
2003. sca - freq: 19
2004. set - freq: 19
2005. spi - freq: 19
2006. src - freq: 19
2007. sum - freq: 19
2008. thr - freq: 19
2009. tia - freq: 19
2010. tif - freq: 19
2011. tme - freq: 19
2012. tne - freq: 19
2013. too - freq: 19
2014. try - freq: 19
2015. tut - freq: 19
2016. upe - freq: 19
2017. val - freq: 19
2018. var - freq: 19
2019. wik - freq: 19
2020. yan - freq: 19
2021. yon - freq: 19
2022. %3b - freq: 18
2023. %cf - freq: 18
2024. -ye - freq: 18
2025. .he - freq: 18
2026. .ic - freq: 18
2027. .le - freq: 18
2028. .my - freq: 18
2029. .ra - freq: 18
2030. /36 - freq: 18
2031. /ce - freq: 18
2032. /fu - freq: 18
2033. 00- - freq: 18
2034. 01_ - freq: 18
2035. 113 - freq: 18
2036. 131 - freq: 18
2037. 133 - freq: 18
2038. 15/ - freq: 18
2039. 340 - freq: 18
2040. 3bh - freq: 18
2041. 471 - freq: 18
2042. 489 - freq: 18
2043. 52f - freq: 18
2044. 7%8 - freq: 18
2045. 8.h - freq: 18
2046. 843 - freq: 18
2047. 8b; - freq: 18
2048. 8b= - freq: 18
2049. ;%e - freq: 18
2050. =%e - freq: 18
2051. =tr - freq: 18
2052. ?fr - freq: 18
2053. a7- - freq: 18
2054. a9- - freq: 18
2055. af- - freq: 18
2056. aff - freq: 18
2057. aku - freq: 18
2058. alk - freq: 18
2059. api - freq: 18
2060. ar. - freq: 18
2061. arr - freq: 18
2062. aud - freq: 18
2063. b6% - freq: 18
2064. b;% - freq: 18
2065. b=% - freq: 18
2066. bet - freq: 18
2067. bht - freq: 18
2068. boa - freq: 18
2069. by- - freq: 18
2070. cce - freq: 18
2071. cem - freq: 18
2072. cf% - freq: 18
2073. cra - freq: 18
2074. da. - freq: 18
2075. de. - freq: 18
2076. dfi - freq: 18
2077. e-g - freq: 18
2078. e=c - freq: 18
2079. eca - freq: 18
2080. efa - freq: 18
2081. elp - freq: 18
2082. epr - freq: 18
2083. er= - freq: 18
2084. esa - freq: 18
2085. g-c - freq: 18
2086. gel - freq: 18
2087. gon - freq: 18
2088. h-a - freq: 18
2089. h.c - freq: 18
2090. hri - freq: 18
2091. ift - freq: 18
2092. ils - freq: 18
2093. irt - freq: 18
2094. le_ - freq: 18
2095. lip - freq: 18
2096. m.a - freq: 18
2097. n-f - freq: 18
2098. n-k - freq: 18
2099. ndu - freq: 18
2100. ne/ - freq: 18
2101. o-m - freq: 18
2102. oar - freq: 18
2103. och - freq: 18
2104. ol. - freq: 18
2105. on_ - freq: 18
2106. oru - freq: 18
2107. pon - freq: 18
2108. r-h - freq: 18
2109. rc= - freq: 18
2110. ri- - freq: 18
2111. rla - freq: 18
2112. ro. - freq: 18
2113. rt/ - freq: 18
2114. ry. - freq: 18
2115. sk. - freq: 18
2116. sky - freq: 18
2117. sla - freq: 18
2118. t-l - freq: 18
2119. uer - freq: 18
2120. uld - freq: 18
2121. um. - freq: 18
2122. utb - freq: 18
2123. vat - freq: 18
2124. w-t - freq: 18
2125. wer - freq: 18
2126. who - freq: 18
2127. y-r - freq: 18
2128. -15 - freq: 17
2129. -2- - freq: 17
2130. -ab - freq: 17
2131. -au - freq: 17
2132. -ja - freq: 17
2133. .%e - freq: 17
2134. .cn - freq: 17
2135. .da - freq: 17
2136. .el - freq: 17
2137. .id - freq: 17
2138. .on - freq: 17
2139. .sp - freq: 17
2140. /09 - freq: 17
2141. /?s - freq: 17
2142. /bo - freq: 17
2143. /go - freq: 17
2144. /hi - freq: 17
2145. /la - freq: 17
2146. /of - freq: 17
2147. /sm - freq: 17
2148. 002 - freq: 17
2149. 132 - freq: 17
2150. 6-% - freq: 17
2151. 611 - freq: 17
2152. 8b. - freq: 17
2153. 99& - freq: 17
2154. =re - freq: 17
2155. _ga - freq: 17
2156. any - freq: 17
2157. aph - freq: 17
2158. asa - freq: 17
2159. aso - freq: 17
2160. aul - freq: 17
2161. aze - freq: 17
2162. azo - freq: 17
2163. b.% - freq: 17
2164. be- - freq: 17
2165. cap - freq: 17
2166. cmp - freq: 17
2167. d%2 - freq: 17
2168. do. - freq: 17
2169. e/b - freq: 17
2170. e/m - freq: 17
2171. ebo - freq: 17
2172. ein - freq: 17
2173. eld - freq: 17
2174. epi - freq: 17
2175. f-t - freq: 17
2176. f.c - freq: 17
2177. f=h - freq: 17
2178. fal - freq: 17
2179. fam - freq: 17
2180. fit - freq: 17
2181. giv - freq: 17
2182. gua - freq: 17
2183. gue - freq: 17
2184. h-t - freq: 17
2185. hal - freq: 17
2186. hip - freq: 17
2187. hp? - freq: 17
2188. ic. - freq: 17
2189. ido - freq: 17
2190. ie/ - freq: 17
2191. in_ - freq: 17
2192. inn - freq: 17
2193. itt - freq: 17
2194. kan - freq: 17
2195. lta - freq: 17
2196. lue - freq: 17
2197. m/o - freq: 17
2198. mys - freq: 17
2199. n-o - freq: 17
2200. n-v - freq: 17
2201. nas - freq: 17
2202. nbc - freq: 17
2203. nl/ - freq: 17
2204. o-g - freq: 17
2205. o-w - freq: 17
2206. op. - freq: 17
2207. owe - freq: 17
2208. ped - freq: 17
2209. plo - freq: 17
2210. put - freq: 17
2211. r-i - freq: 17
2212. r/i - freq: 17
2213. rca - freq: 17
2214. rgi - freq: 17
2215. rki - freq: 17
2216. roo - freq: 17
2217. rue - freq: 17
2218. run - freq: 17
2219. s-1 - freq: 17
2220. s.a - freq: 17
2221. s.o - freq: 17
2222. s.p - freq: 17
2223. s/8 - freq: 17
2224. soc - freq: 17
2225. squ - freq: 17
2226. t/c - freq: 17
2227. ta/ - freq: 17
2228. tap - freq: 17
2229. tm? - freq: 17
2230. urs - freq: 17
2231. vol - freq: 17
2232. was - freq: 17
2233. wom - freq: 17
2234. y-d - freq: 17
2235. y-h - freq: 17
2236. y-m - freq: 17
2237. ywo - freq: 17
2238. %e7 - freq: 16
2239. -il - freq: 16
2240. -vs - freq: 16
2241. .cl - freq: 16
2242. .il - freq: 16
2243. .wa - freq: 16
2244. //r - freq: 16
2245. /on - freq: 16
2246. /p/ - freq: 16
2247. /ph - freq: 16
2248. 013 - freq: 16
2249. 020 - freq: 16
2250. 033 - freq: 16
2251. 1.c - freq: 16
2252. 115 - freq: 16
2253. 120 - freq: 16
2254. 160 - freq: 16
2255. 18. - freq: 16
2256. 193 - freq: 16
2257. 279 - freq: 16
2258. 333 - freq: 16
2259. 506 - freq: 16
2260. 847 - freq: 16
2261. 8b7 - freq: 16
2262. _se - freq: 16
2263. a-g - freq: 16
2264. abi - freq: 16
2265. al_ - freq: 16
2266. apo - freq: 16
2267. as. - freq: 16
2268. ask - freq: 16
2269. ayo - freq: 16
2270. bir - freq: 16
2271. bod - freq: 16
2272. bti - freq: 16
2273. chn - freq: 16
2274. cie - freq: 16
2275. ct. - freq: 16
2276. d%c - freq: 16
2277. d=0 - freq: 16
2278. did - freq: 16
2279. dri - freq: 16
2280. dve - freq: 16
2281. e.n - freq: 16
2282. e/c - freq: 16
2283. e7% - freq: 16
2284. e=p - freq: 16
2285. e=t - freq: 16
2286. ean - freq: 16
2287. eep - freq: 16
2288. eig - freq: 16
2289. elc - freq: 16
2290. equ - freq: 16
2291. erp - freq: 16
2292. ft- - freq: 16
2293. gi- - freq: 16
2294. go- - freq: 16
2295. gri - freq: 16
2296. hac - freq: 16
2297. hro - freq: 16
2298. hun - freq: 16
2299. i-1 - freq: 16
2300. i-m - freq: 16
2301. iao - freq: 16
2302. ias - freq: 16
2303. ibe - freq: 16
2304. ige - freq: 16
2305. ino - freq: 16
2306. l-f - freq: 16
2307. lim - freq: 16
2308. lmj - freq: 16
2309. m/q - freq: 16
2310. n-2 - freq: 16
2311. na. - freq: 16
2312. nam - freq: 16
2313. ndr - freq: 16
2314. ned - freq: 16
2315. nee - freq: 16
