Most important phishing n_grams
281. d=1 - freq: 120
282. g49 - freq: 120
283. 201 - freq: 119
284. 964 - freq: 119
285. &id - freq: 118
286. .or - freq: 118
287. /.a - freq: 118
288. /re - freq: 118
289. m/i - freq: 118
290. p?m - freq: 118
291. por - freq: 118
292. s.l - freq: 118
293. //d - freq: 117
294. 996 - freq: 117
295. ?mx - freq: 117
296. mxa - freq: 117
297. xa= - freq: 117
298. -in - freq: 116
299. //c - freq: 116
300. cus - freq: 116
301. nfo - freq: 115
302. ova - freq: 115
303. .lt - freq: 114
304. 774 - freq: 114
305. ers - freq: 114
306. nov - freq: 114
307. smi - freq: 114
308. y-a - freq: 114
309. .sm - freq: 113
310. /bo - freq: 113
311. =lo - freq: 113
312. asp - freq: 113
313. -ag - freq: 112
314. 642 - freq: 112
315. 742 - freq: 112
316. mir - freq: 112
317. sea - freq: 112
318. //i - freq: 111
319. gai - freq: 111
320. mp; - freq: 111
321. ng. - freq: 111
322. tra - freq: 111
323. 177 - freq: 110
324. 425 - freq: 110
325. rno - freq: 110
326. x.h - freq: 110
327. /my - freq: 109
328. 636 - freq: 109
329. fy- - freq: 109
330. /on - freq: 108
331. irn - freq: 108
332. n.s - freq: 108
333. /ad - freq: 107
334. /ca - freq: 107
335. inf - freq: 107
336. ive - freq: 107
337. ns. - freq: 107
338. ts/ - freq: 107
339. /.i - freq: 106
340. 030 - freq: 106
341. 2e6 - freq: 106
342. 365 - freq: 106
343. 562 - freq: 106
344. 776 - freq: 106
345. ac. - freq: 106
346. s/s - freq: 106
347. /cu - freq: 105
348. in_ - freq: 105
349. bmi - freq: 104
350. it& - freq: 104
351. res - freq: 104
352. 289 - freq: 103
353. ach - freq: 103
354. lig - freq: 103
355. sub - freq: 103
356. /st - freq: 102
357. ect - freq: 102
358. /im - freq: 101
359. ces - freq: 101
360. est - freq: 101
361. igh - freq: 101
362. m/c - freq: 100
363. m/s - freq: 100
364. on/ - freq: 100
365. per - freq: 100
366. ple - freq: 100
367. ste - freq: 100
368. t&i - freq: 100
369. uth - freq: 100
370. /th - freq: 99
371. 528 - freq: 99
372. 696 - freq: 99
373. _su - freq: 99
374. ubm - freq: 99
375. //b - freq: 98
376. 641 - freq: 98
377. cti - freq: 98
378. n_s - freq: 98
379. ry. - freq: 98
380. /pl - freq: 97
381. 024 - freq: 97
382. ght - freq: 97
383. you - freq: 97
384. 252 - freq: 96
385. int - freq: 96
386. hoo - freq: 95
387. il/ - freq: 95
388. t.c - freq: 95
389. try - freq: 95
390. /.h - freq: 94
391. ade - freq: 94
392. eme - freq: 94
393. fil - freq: 94
394. mya - freq: 94
395. plu - freq: 94
396. sup - freq: 94
397. ce. - freq: 93
398. edi - freq: 93
399. inb - freq: 93
400. t/s - freq: 93
401. yac - freq: 93
402. &am - freq: 92
403. cox - freq: 92
404. ges - freq: 92
405. lug - freq: 92
406. nbo - freq: 92
407. s/c - freq: 92
408. 899 - freq: 91
409. new - freq: 91
410. pda - freq: 91
411. smr - freq: 91
412. upd - freq: 91
413. 18& - freq: 90
414. 626 - freq: 90
415. ugi - freq: 90
416. une - freq: 90
417. xli - freq: 90
418. 13i - freq: 89
419. 170 - freq: 89
420. 3in - freq: 89
421. hom - freq: 89
422. oxl - freq: 89
423. .ha - freq: 88
424. 213 - freq: 88
425. 6e6 - freq: 88
426. d=l - freq: 88
427. nsm - freq: 88
428. olu - freq: 88
429. -ad - freq: 87
430. .ti - freq: 87
431. 147 - freq: 87
432. 686 - freq: 87
433. mr. - freq: 87
434. .ma - freq: 86
435. .pa - freq: 86
436. 125 - freq: 86
437. 73b - freq: 86
438. 8&f - freq: 86
439. een - freq: 86
