Most important phishing n_grams
1169. 59d - freq: 40
1170. 652 - freq: 40
1171. 669 - freq: 40
1172. 671 - freq: 40
1173. 680 - freq: 40
1174. 71d - freq: 40
1175. 738 - freq: 40
1176. 832 - freq: 40
1177. 9a4 - freq: 40
1178. a/a - freq: 40
1179. asi - freq: 40
1180. b5f - freq: 40
1181. b73 - freq: 40
1182. c6c - freq: 40
1183. cu/ - freq: 40
1184. d63 - freq: 40
1185. d=4 - freq: 40
1186. dec - freq: 40
1187. dns - freq: 40
1188. e88 - freq: 40
1189. eer - freq: 40
1190. erf - freq: 40
1191. far - freq: 40
1192. fau - freq: 40
1193. fo/ - freq: 40
1194. her - freq: 40
1195. in= - freq: 40
1196. m/z - freq: 40
1197. n-s - freq: 40
1198. n/c - freq: 40
1199. nav - freq: 40
1200. o.u - freq: 40
1201. on- - freq: 40
1202. p/s - freq: 40
1203. p?e - freq: 40
1204. roc - freq: 40
1205. rou - freq: 40
1206. s.0 - freq: 40
1207. s.o - freq: 40
1208. set - freq: 40
1209. sit - freq: 40
1210. t.p - freq: 40
1211. t/u - freq: 40
1212. ty. - freq: 40
1213. -pa - freq: 39
1214. 140 - freq: 39
1215. 154 - freq: 39
1216. 160 - freq: 39
1217. 301 - freq: 39
1218. 3a0 - freq: 39
1219. 3fc - freq: 39
1220. 416 - freq: 39
1221. 44f - freq: 39
1222. 481 - freq: 39
1223. 483 - freq: 39
1224. 4a9 - freq: 39
1225. 5d5 - freq: 39
1226. 615 - freq: 39
1227. 65/ - freq: 39
1228. 6b1 - freq: 39
1229. 6d6 - freq: 39
1230. 716 - freq: 39
1231. 75d - freq: 39
1232. 9d5 - freq: 39
1233. a%2 - freq: 39
1234. a91 - freq: 39
1235. af3 - freq: 39
1236. ara - freq: 39
1237. azo - freq: 39
1238. b20 - freq: 39
1239. ba7 - freq: 39
1240. cf1 - freq: 39
1241. d45 - freq: 39
1242. db4 - freq: 39
1243. e5c - freq: 39
1244. e74 - freq: 39
1245. ec7 - freq: 39
1246. elp - freq: 39
1247. emb - freq: 39
1248. f%2 - freq: 39
1249. f10 - freq: 39
1250. f15 - freq: 39
1251. fc5 - freq: 39
1252. ff0 - freq: 39
1253. fir - freq: 39
1254. iti - freq: 39
1255. m/n - freq: 39
1256. m/u - freq: 39
1257. m/v - freq: 39
1258. mar - freq: 39
1259. nk- - freq: 39
1260. nk. - freq: 39
1261. o/s - freq: 39
1262. os. - freq: 39
1263. pp0 - freq: 39
1264. r_c - freq: 39
1265. ref - freq: 39
1266. rti - freq: 39
1267. ruc - freq: 39
1268. s/u - freq: 39
1269. tac - freq: 39
1270. -da - freq: 38
1271. /ab - freq: 38
1272. /al - freq: 38
1273. /cm - freq: 38
1274. /so - freq: 38
1275. 020 - freq: 38
1276. 059 - freq: 38
1277. 084 - freq: 38
1278. 0bc - freq: 38
1279. 0ea - freq: 38
1280. 188 - freq: 38
1281. 2.h - freq: 38
1282. 2a8 - freq: 38
1283. 2f3 - freq: 38
1284. 37c - freq: 38
1285. 3d9 - freq: 38
1286. 444 - freq: 38
1287. 478 - freq: 38
1288. 47a - freq: 38
1289. 498 - freq: 38
1290. 4d4 - freq: 38
1291. 523 - freq: 38
1292. 748 - freq: 38
1293. 76e - freq: 38
1294. 7a1 - freq: 38
1295. 7a7 - freq: 38
1296. 873 - freq: 38
1297. 912 - freq: 38
1298. 91d - freq: 38
1299. 946 - freq: 38
1300. a1f - freq: 38
1301. a3e - freq: 38
1302. a46 - freq: 38
1303. a8a - freq: 38
1304. arg - freq: 38
1305. arm - freq: 38
1306. aul - freq: 38
1307. b.c - freq: 38
1308. b0e - freq: 38
1309. b72 - freq: 38
1310. bdf - freq: 38
1311. bin - freq: 38
1312. cad - freq: 38
1313. cro - freq: 38
1314. d.p - freq: 38
1315. d/b - freq: 38
1316. d9a - freq: 38
1317. dpp - freq: 38
1318. e69 - freq: 38
1319. edu - freq: 38
1320. ee- - freq: 38
1321. en_ - freq: 38
1322. fer - freq: 38
1323. gon - freq: 38
1324. ibc - freq: 38
1325. id- - freq: 38
1326. idp - freq: 38
1327. lli - freq: 38
1328. m.a - freq: 38
1329. m/4 - freq: 38
1330. m/e - freq: 38
1331. n.h - freq: 38
1332. oxc - freq: 38
1333. p00 - freq: 38
1334. rso - freq: 38
1335. ule - freq: 38
1336. val - freq: 38
1337. .ed - freq: 37
1338. .lo - freq: 37
1339. /.s - freq: 37
1340. 003 - freq: 37
1341. 064 - freq: 37
1342. 0c3 - freq: 37
1343. 0cf - freq: 37
1344. 0e7 - freq: 37
1345. 174 - freq: 37
1346. 191 - freq: 37
1347. 396 - freq: 37
1348. 46f - freq: 37
1349. 493 - freq: 37
1350. 4f1 - freq: 37
1351. 524 - freq: 37
1352. 643 - freq: 37
1353. 658 - freq: 37
1354. 700 - freq: 37
1355. 717 - freq: 37
1356. 777 - freq: 37
1357. 7f1 - freq: 37
1358. 869 - freq: 37
1359. 887 - freq: 37
1360. 8cc - freq: 37
1361. 92b - freq: 37
1362. 949 - freq: 37
1363. 9a3 - freq: 37
1364. 9ae - freq: 37
1365. 9df - freq: 37
1366. 9e9 - freq: 37
1367. a13 - freq: 37
1368. ab3 - freq: 37
1369. adf - freq: 37
1370. adi - freq: 37
1371. af0 - freq: 37
1372. ave - freq: 37
1373. b47 - freq: 37
1374. ber - freq: 37
1375. c44 - freq: 37
1376. c7e - freq: 37
1377. cfb - freq: 37
1378. dc0 - freq: 37
1379. dfa - freq: 37
1380. du. - freq: 37
1381. e.x - freq: 37
1382. e43 - freq: 37
1383. e5d - freq: 37
1384. e70 - freq: 37
1385. e9c - freq: 37
1386. f58 - freq: 37
1387. fc7 - freq: 37
1388. fff - freq: 37
1389. meg - freq: 37
1390. ol. - freq: 37
1391. pol - freq: 37
1392. rea - freq: 37
1393. rfg - freq: 37
1394. rt/ - freq: 37
1395. x=e - freq: 37
1396. /.n - freq: 36
1397. //g - freq: 36
1398. /ro - freq: 36
1399. /sp - freq: 36
1400. /un - freq: 36
1401. 036 - freq: 36
1402. 11b - freq: 36
1403. 164 - freq: 36
1404. 179 - freq: 36
1405. 239 - freq: 36
1406. 2d7 - freq: 36
1407. 308 - freq: 36
1408. 34c - freq: 36
1409. 36a - freq: 36
1410. 404 - freq: 36
1411. 43b - freq: 36
1412. 463 - freq: 36
1413. 464 - freq: 36
1414. 492 - freq: 36
1415. 542 - freq: 36
1416. 606 - freq: 36
1417. 6c0 - freq: 36
1418. 6c2 - freq: 36
1419. 6e5 - freq: 36
1420. 73c - freq: 36
1421. 7ac - freq: 36
1422. 8e9 - freq: 36
1423. 967 - freq: 36
1424. _ce - freq: 36
1425. a/8 - freq: 36
1426. a89 - freq: 36
1427. aae - freq: 36
1428. am. - freq: 36
1429. atb - freq: 36
1430. b9c - freq: 36
1431. be/ - freq: 36
1432. be4 - freq: 36
1433. bf0 - freq: 36
1434. blo - freq: 36
1435. c/b - freq: 36
1436. c07 - freq: 36
1437. c9b - freq: 36
1438. dd1 - freq: 36
1439. e.a - freq: 36
1440. e3a - freq: 36
1441. e49 - freq: 36
1442. e56 - freq: 36
1443. e8c - freq: 36
1444. e98 - freq: 36
1445. ebc - freq: 36
1446. ec6 - freq: 36
1447. edf - freq: 36
1448. f0a - freq: 36
1449. f18 - freq: 36
1450. f26 - freq: 36
1451. f7f - freq: 36
1452. ge. - freq: 36
1453. ics - freq: 36
1454. js/ - freq: 36
1455. le- - freq: 36
1456. m/2 - freq: 36
1457. nat - freq: 36
1458. nfi - freq: 36
1459. nst - freq: 36
1460. omp - freq: 36
1461. re. - freq: 36
1462. ret - freq: 36
1463. sic - freq: 36
1464. tur - freq: 36
1465. ud. - freq: 36
1466. uk/ - freq: 36
1467. us- - freq: 36
1468. usb - freq: 36
1469. way - freq: 36
1470. .an - freq: 35
1471. .be - freq: 35
1472. .bl - freq: 35
1473. //e - freq: 35
1474. //w - freq: 35
1475. /bl - freq: 35
1476. /gu - freq: 35
1477. /la - freq: 35
1478. /sc - freq: 35
1479. /wo - freq: 35
1480. 011 - freq: 35
1481. 033 - freq: 35
1482. 0d6 - freq: 35
1483. 121 - freq: 35
1484. 135 - freq: 35
1485. 163 - freq: 35
1486. 166 - freq: 35
1487. 181 - freq: 35
1488. 186 - freq: 35
1489. 238 - freq: 35
1490. 23a - freq: 35
1491. 241 - freq: 35
1492. 323 - freq: 35
1493. 43e - freq: 35
1494. 475 - freq: 35
1495. 554 - freq: 35
1496. 59a - freq: 35
1497. 607 - freq: 35
1498. 62d - freq: 35
1499. 698 - freq: 35
1500. 69e - freq: 35
1501. 6a6 - freq: 35
1502. 6ba - freq: 35
1503. 728 - freq: 35
1504. 735 - freq: 35
1505. 745 - freq: 35
1506. 749 - freq: 35
1507. 768 - freq: 35
1508. 81e - freq: 35
1509. 82a - freq: 35
1510. 836 - freq: 35
1511. 84a - freq: 35
1512. 874 - freq: 35
1513. 898 - freq: 35
1514. 8ae - freq: 35
1515. 977 - freq: 35
1516. 97c - freq: 35
1517. 988 - freq: 35
1518. 9a9 - freq: 35
1519. a/7 - freq: 35
1520. a/f - freq: 35
1521. a70 - freq: 35
1522. a9d - freq: 35
1523. adp - freq: 35
1524. ayo - freq: 35
1525. b0b - freq: 35
1526. b77 - freq: 35
1527. ba6 - freq: 35
1528. bf7 - freq: 35
1529. c3e - freq: 35
1530. c65 - freq: 35
1531. c70 - freq: 35
1532. d-l - freq: 35
1533. d25 - freq: 35
1534. d8a - freq: 35
1535. dea - freq: 35
1536. df8 - freq: 35
1537. e/o - freq: 35
1538. eb. - freq: 35
1539. f60 - freq: 35
1540. fc8 - freq: 35
1541. fd8 - freq: 35
1542. ili - freq: 35
1543. ios - freq: 35
1544. irm - freq: 35
1545. lay - freq: 35
1546. mic - freq: 35
1547. ngl - freq: 35
1548. o.e - freq: 35
1549. oup - freq: 35
1550. re- - freq: 35
1551. rim - freq: 35
1552. rin - freq: 35
1553. s/m - freq: 35
1554. spo - freq: 35
1555. srg - freq: 35
1556. ta/ - freq: 35
1557. %2f - freq: 34
1558. -ac - freq: 34
1559. -la - freq: 34
1560. .au - freq: 34
1561. .bd - freq: 34
1562. .pl - freq: 34
1563. /am - freq: 34
1564. 108 - freq: 34
1565. 148 - freq: 34
1566. 169 - freq: 34
1567. 18f - freq: 34
1568. 1a5 - freq: 34
1569. 1a9 - freq: 34
1570. 1e8 - freq: 34
1571. 2cd - freq: 34
1572. 2fb - freq: 34
1573. 2fe - freq: 34
1574. 333 - freq: 34
1575. 3e1 - freq: 34
1576. 447 - freq: 34
1577. 46b - freq: 34
1578. 48b - freq: 34
1579. 4af - freq: 34
1580. 4ff - freq: 34
1581. 50b - freq: 34
1582. 54a - freq: 34
1583. 601 - freq: 34
1584. 63f - freq: 34
1585. 646 - freq: 34
1586. 64d - freq: 34
1587. 7c3 - freq: 34
1588. 81d - freq: 34
1589. 871 - freq: 34
1590. 89b - freq: 34
1591. 8af - freq: 34
1592. 8c7 - freq: 34
1593. 8fd - freq: 34
1594. 8ff - freq: 34
1595. 903 - freq: 34
1596. 905 - freq: 34
1597. 966 - freq: 34
1598. 9bb - freq: 34
1599. a/o - freq: 34
1600. a08 - freq: 34
1601. a58 - freq: 34
1602. abe - freq: 34
1603. ad4 - freq: 34
1604. ayt - freq: 34
1605. bc9 - freq: 34
1606. boa - freq: 34
1607. c/o - freq: 34
1608. c64 - freq: 34
1609. c8a - freq: 34
1610. d30 - freq: 34
1611. d94 - freq: 34
1612. dcd - freq: 34
1613. dde - freq: 34
1614. dpu - freq: 34
1615. e-a - freq: 34
1616. ea5 - freq: 34
1617. ear - freq: 34
1618. et. - freq: 34
1619. h.c - freq: 34
1620. i-s - freq: 34
1621. ien - freq: 34
1622. las - freq: 34
1623. llo - freq: 34
1624. m.e - freq: 34
1625. mds - freq: 34
1626. o.p - freq: 34
1627. oma - freq: 34
1628. ph/ - freq: 34
1629. plo - freq: 34
1630. rod - freq: 34
1631. sof - freq: 34
1632. tif - freq: 34
1633. tys - freq: 34
1634. urm - freq: 34
1635. xco - freq: 34
1636. xma - freq: 34
1637. zon - freq: 34
1638. .io - freq: 33
1639. /.e - freq: 33
1640. /as - freq: 33
1641. /po - freq: 33
1642. 001 - freq: 33
1643. 088 - freq: 33
1644. 136 - freq: 33
1645. 194 - freq: 33
1646. 1b8 - freq: 33
1647. 25f - freq: 33
1648. 2a6 - freq: 33
1649. 2c2 - freq: 33
1650. 2c4 - freq: 33
1651. 2ee - freq: 33
1652. 30a - freq: 33
1653. 318 - freq: 33
1654. 33a - freq: 33
1655. 35a - freq: 33
1656. 362 - freq: 33
1657. 363 - freq: 33
1658. 3ed - freq: 33
1659. 420 - freq: 33
1660. 435 - freq: 33
1661. 442 - freq: 33
1662. 497 - freq: 33
1663. 4b0 - freq: 33
1664. 4f9 - freq: 33
1665. 505 - freq: 33
1666. 561 - freq: 33
1667. 567 - freq: 33
1668. 56e - freq: 33
1669. 580 - freq: 33
1670. 65e - freq: 33
1671. 68e - freq: 33
1672. 6bc - freq: 33
1673. 6c1 - freq: 33
1674. 6d9 - freq: 33
1675. 6e4 - freq: 33
1676. 6f8 - freq: 33
1677. 701 - freq: 33
1678. 772 - freq: 33
1679. 788 - freq: 33
1680. 79d - freq: 33
1681. 7e6 - freq: 33
1682. 837 - freq: 33
1683. 84e - freq: 33
1684. 859 - freq: 33
1685. 85b - freq: 33
1686. 8f0 - freq: 33
1687. 9.h - freq: 33
1688. 9/0 - freq: 33
1689. 9b2 - freq: 33
1690. 9c7 - freq: 33
1691. 9ee - freq: 33
1692. a/0 - freq: 33
1693. a18 - freq: 33
1694. a4e - freq: 33
1695. a69 - freq: 33
1696. a9a - freq: 33
1697. als - freq: 33
1698. b14 - freq: 33
1699. b26 - freq: 33
1700. b33 - freq: 33
1701. b82 - freq: 33
1702. bla - freq: 33
1703. c15 - freq: 33
1704. c48 - freq: 33
1705. cc5 - freq: 33
1706. cef - freq: 33
1707. d.s - freq: 33
1708. d48 - freq: 33
1709. dan - freq: 33
1710. de2 - freq: 33
1711. de5 - freq: 33
1712. do. - freq: 33
1713. dre - freq: 33
1714. duc - freq: 33
1715. dul - freq: 33
1716. e.i - freq: 33
1717. e48 - freq: 33
1718. e91 - freq: 33
1719. e93 - freq: 33
1720. ecb - freq: 33
1721. ecc - freq: 33
1722. ech - freq: 33
1723. f1d - freq: 33
1724. f2f - freq: 33
1725. f34 - freq: 33
1726. f4b - freq: 33
1727. f64 - freq: 33
1728. fd1 - freq: 33
1729. gn. - freq: 33
1730. k%2 - freq: 33
1731. lum - freq: 33
1732. n.r - freq: 33
1733. n/l - freq: 33
1734. n=f - freq: 33
1735. nk% - freq: 33
1736. nke - freq: 33
1737. nso - freq: 33
1738. nty - freq: 33
1739. oft - freq: 33
1740. onn - freq: 33
1741. ork - freq: 33
1742. oso - freq: 33
1743. oxm - freq: 33
1744. rac - freq: 33
1745. rmd - freq: 33
1746. u.b - freq: 33
1747. ues - freq: 33
1748. usi - freq: 33
1749. ut/ - freq: 33
1750. -su - freq: 32
1751. .13 - freq: 32
1752. .ba - freq: 32
1753. /dh - freq: 32
1754. /zo - freq: 32
1755. 02a - freq: 32
1756. 03c - freq: 32
1757. 050 - freq: 32
1758. 0cb - freq: 32
1759. 0of - freq: 32
1760. 173 - freq: 32
1761. 180 - freq: 32
1762. 198 - freq: 32
1763. 1fc - freq: 32
1764. 203 - freq: 32
1765. 223 - freq: 32
1766. 236 - freq: 32
1767. 26d - freq: 32
1768. 29a - freq: 32
1769. 29b - freq: 32
1770. 2e7 - freq: 32
1771. 34f - freq: 32
1772. 352 - freq: 32
1773. 3af - freq: 32
1774. 3b4 - freq: 32
1775. 3b8 - freq: 32
1776. 3fa - freq: 32
1777. 44d - freq: 32
1778. 459 - freq: 32
1779. 473 - freq: 32
1780. 4c0 - freq: 32
1781. 4eb - freq: 32
1782. 516 - freq: 32
1783. 531 - freq: 32
1784. 547 - freq: 32
1785. 577 - freq: 32
1786. 59c - freq: 32
1787. 5e6 - freq: 32
1788. 63c - freq: 32
1789. 64b - freq: 32
1790. 6e0 - freq: 32
1791. 6f2 - freq: 32
1792. 712 - freq: 32
1793. 719 - freq: 32
1794. 759 - freq: 32
1795. 766 - freq: 32
1796. 77b - freq: 32
1797. 783 - freq: 32
1798. 804 - freq: 32
1799. 80b - freq: 32
1800. 80f - freq: 32
1801. 855 - freq: 32
1802. 867 - freq: 32
1803. 87a - freq: 32
1804. 889 - freq: 32
1805. 8f2 - freq: 32
1806. 914 - freq: 32
1807. 92e - freq: 32
1808. 970 - freq: 32
1809. 9c5 - freq: 32
1810. 9e2 - freq: 32
1811. a43 - freq: 32
1812. a7e - freq: 32
1813. aaf - freq: 32
1814. abs - freq: 32
1815. ae6 - freq: 32
1816. af9 - freq: 32
1817. afe - freq: 32
1818. b0c - freq: 32
1819. b83 - freq: 32
1820. ba4 - freq: 32
1821. c86 - freq: 32
1822. c88 - freq: 32
1823. cb2 - freq: 32
1824. cba - freq: 32
1825. d20 - freq: 32
1826. d2d - freq: 32
1827. d68 - freq: 32
1828. d87 - freq: 32
1829. da0 - freq: 32
1830. da4 - freq: 32
1831. da7 - freq: 32
1832. daf - freq: 32
1833. db1 - freq: 32
1834. dff - freq: 32
1835. e/f - freq: 32
1836. e01 - freq: 32
1837. ea8 - freq: 32
1838. eb0 - freq: 32
1839. ec3 - freq: 32
1840. edc - freq: 32
1841. emp - freq: 32
1842. f1c - freq: 32
1843. f23 - freq: 32
1844. f85 - freq: 32
1845. fde - freq: 32
1846. gli - freq: 32
1847. hgf - freq: 32
1848. hta - freq: 32
1849. icl - freq: 32
1850. ide - freq: 32
1851. loo - freq: 32
1852. mpl - freq: 32
1853. mpt - freq: 32
1854. neb - freq: 32
1855. ngu - freq: 32
1856. par - freq: 32
1857. pos - freq: 32
1858. pps - freq: 32
1859. rde - freq: 32
1860. ri. - freq: 32
1861. s/n - freq: 32
1862. tli - freq: 32
1863. uck - freq: 32
1864. upg - freq: 32
1865. usa - freq: 32
1866. &ac - freq: 31
1867. &ra - freq: 31
1868. -sc - freq: 31
1869. /vi - freq: 31
1870. 042 - freq: 31
1871. 066 - freq: 31
1872. 083 - freq: 31
1873. 0b1 - freq: 31
1874. 0c2 - freq: 31
1875. 0c7 - freq: 31
1876. 0e8 - freq: 31
1877. 0f6 - freq: 31
1878. 10d - freq: 31
1879. 11c - freq: 31
1880. 18d - freq: 31
1881. 196 - freq: 31
1882. 1c4 - freq: 31
1883. 20f - freq: 31
1884. 245 - freq: 31
1885. 3c8 - freq: 31
1886. 43a - freq: 31
1887. 449 - freq: 31
1888. 488 - freq: 31
1889. 4b4 - freq: 31
1890. 4cb - freq: 31
1891. 4d5 - freq: 31
1892. 572 - freq: 31
1893. 576 - freq: 31
1894. 57a - freq: 31
1895. 5c5 - freq: 31
1896. 5d9 - freq: 31
1897. 60e - freq: 31
1898. 63d - freq: 31
1899. 640 - freq: 31
1900. 661 - freq: 31
1901. 66c - freq: 31
1902. 677 - freq: 31
1903. 67b - freq: 31
1904. 704 - freq: 31
1905. 71e - freq: 31
1906. 72c - freq: 31
1907. 752 - freq: 31
1908. 753 - freq: 31
1909. 78b - freq: 31
1910. 791 - freq: 31
1911. 7bc - freq: 31
1912. 834 - freq: 31
1913. 849 - freq: 31
1914. 875 - freq: 31
1915. 87e - freq: 31
1916. 89d - freq: 31
1917. 945 - freq: 31
1918. 979 - freq: 31
1919. 9a2 - freq: 31
1920. 9ad - freq: 31
1921. 9db - freq: 31
1922. 9fe - freq: 31
1923. =17 - freq: 31
1924. =73 - freq: 31
1925. a12 - freq: 31
1926. a4c - freq: 31
1927. a66 - freq: 31
1928. ab6 - freq: 31
1929. ae0 - freq: 31
1930. afd - freq: 31
1931. b74 - freq: 31
1932. b81 - freq: 31
1933. bdb - freq: 31
1934. biz - freq: 31
1935. bsa - freq: 31
1936. c.p - freq: 31
1937. c0b - freq: 31
1938. c2e - freq: 31
1939. c32 - freq: 31
1940. c60 - freq: 31
1941. c9e - freq: 31
1942. cc0 - freq: 31
1943. cde - freq: 31
1944. cia - freq: 31
1945. ckb - freq: 31
1946. cli - freq: 31
1947. ct. - freq: 31
1948. d-p - freq: 31
1949. d92 - freq: 31
1950. da1 - freq: 31
1951. db7 - freq: 31
1952. dcb - freq: 31
1953. don - freq: 31
1954. e/v - freq: 31
1955. e1b - freq: 31
1956. e77 - freq: 31
1957. ed0 - freq: 31
1958. en/ - freq: 31
1959. ery - freq: 31
1960. f0e - freq: 31
1961. f61 - freq: 31
1962. f9b - freq: 31
1963. fef - freq: 31
1964. g.u - freq: 31
1965. gat - freq: 31
1966. hre - freq: 31
1967. iel - freq: 31
1968. it/ - freq: 31
1969. ler - freq: 31
1970. lpe - freq: 31
1971. m/3 - freq: 31
1972. md- - freq: 31
1973. med - freq: 31
1974. mil - freq: 31
1975. mob - freq: 31
1976. n/a - freq: 31
1977. n=e - freq: 31
1978. oli - freq: 31
1979. or. - freq: 31
1980. pgr - freq: 31
1981. rch - freq: 31
1982. rt- - freq: 31
1983. s/p - freq: 31
1984. sdf - freq: 31
1985. wel - freq: 31
1986. ytr - freq: 31
1987. .16 - freq: 30
1988. .ra - freq: 30
1989. /jo - freq: 30
1990. 00b - freq: 30
1991. 021 - freq: 30
1992. 071 - freq: 30
1993. 072 - freq: 30
1994. 0am - freq: 30
1995. 0b4 - freq: 30
1996. 0b8 - freq: 30
1997. 0d2 - freq: 30
1998. 0ec - freq: 30
1999. 1&e - freq: 30
2000. 103 - freq: 30
2001. 11a - freq: 30
2002. 13b - freq: 30
2003. 183 - freq: 30
2004. 184 - freq: 30
2005. 19e - freq: 30
2006. 1ad - freq: 30
2007. 1c8 - freq: 30
2008. 215 - freq: 30
2009. 21e - freq: 30
2010. 233 - freq: 30
2011. 253 - freq: 30
2012. 260 - freq: 30
2013. 296 - freq: 30
2014. 2af - freq: 30
2015. 2cb - freq: 30
2016. 2ff - freq: 30
2017. 320 - freq: 30
2018. 337 - freq: 30
2019. 361 - freq: 30
2020. 364 - freq: 30
2021. 389 - freq: 30
2022. 398 - freq: 30
2023. 432 - freq: 30
2024. 445 - freq: 30
2025. 49d - freq: 30
2026. 50c - freq: 30
2027. 526 - freq: 30
2028. 52d - freq: 30
2029. 545 - freq: 30
2030. 612 - freq: 30
2031. 622 - freq: 30
2032. 660 - freq: 30
2033. 673 - freq: 30
2034. 6ad - freq: 30
2035. 733 - freq: 30
2036. 7b7 - freq: 30
2037. 7b9 - freq: 30
2038. 7bd - freq: 30
2039. 7ec - freq: 30
2040. 825 - freq: 30
2041. 87b - freq: 30
2042. 8d2 - freq: 30
2043. 910 - freq: 30
2044. 916 - freq: 30
2045. 925 - freq: 30
2046. 943 - freq: 30
2047. 94a - freq: 30
2048. 968 - freq: 30
2049. 98. - freq: 30
2050. 993 - freq: 30
2051. 9f1 - freq: 30
2052. =&. - freq: 30
2053. a01 - freq: 30
2054. a7c - freq: 30
2055. ada - freq: 30
2056. alf - freq: 30
2057. b61 - freq: 30
2058. bac - freq: 30
2059. bb1 - freq: 30
2060. c68 - freq: 30
2061. ce4 - freq: 30
2062. d29 - freq: 30
2063. d2f - freq: 30
2064. d55 - freq: 30
2065. d7b - freq: 30
2066. d80 - freq: 30
2067. ddf - freq: 30
2068. e97 - freq: 30
2069. e99 - freq: 30
2070. eae - freq: 30
2071. ed1 - freq: 30
2072. ed8 - freq: 30
2073. epo - freq: 30
2074. f11 - freq: 30
2075. f97 - freq: 30
2076. fa7 - freq: 30
2077. fbf - freq: 30
2078. ff6 - freq: 30
2079. ffb - freq: 30
2080. g.d - freq: 30
2081. icr - freq: 30
2082. id/ - freq: 30
2083. ily - freq: 30
2084. k-a - freq: 30
2085. kbo - freq: 30
2086. ked - freq: 30
2087. ken - freq: 30
2088. lib - freq: 30
2089. lta - freq: 30
2090. m/j - freq: 30
2091. mn- - freq: 30
2092. n%2 - freq: 30
2093. n-l - freq: 30
2094. n=4 - freq: 30
2095. n=a - freq: 30
2096. n=c - freq: 30
2097. n=d - freq: 30
2098. oce - freq: 30
2099. of% - freq: 30
2100. pla - freq: 30
2101. s/l - freq: 30
2102. tal - freq: 30
2103. umn - freq: 30
2104. xyz - freq: 30
2105. yme - freq: 30
2106. .al - freq: 29
2107. .id - freq: 29
2108. .xy - freq: 29
2109. /.l - freq: 29
2110. /.w - freq: 29
2111. /bu - freq: 29
2112. 037 - freq: 29
2113. 08c - freq: 29
2114. 090 - freq: 29
2115. 0b5 - freq: 29
2116. 123 - freq: 29
2117. 161 - freq: 29
2118. 16f - freq: 29
2119. 19f - freq: 29
2120. 20c - freq: 29
2121. 20e - freq: 29
2122. 20s - freq: 29
2123. 246 - freq: 29
2124. 26f - freq: 29
2125. 310 - freq: 29
2126. 313 - freq: 29
2127. 327 - freq: 29
2128. 328 - freq: 29
2129. 330 - freq: 29
2130. 353 - freq: 29
2131. 357 - freq: 29
2132. 360 - freq: 29
2133. 394 - freq: 29
2134. 3b9 - freq: 29
2135. 400 - freq: 29
2136. 417 - freq: 29
2137. 422 - freq: 29
2138. 431 - freq: 29
2139. 443 - freq: 29
2140. 487 - freq: 29
2141. 4e5 - freq: 29
2142. 5/o - freq: 29
2143. 548 - freq: 29
2144. 56b - freq: 29
2145. 589 - freq: 29
2146. 58a - freq: 29
2147. 62a - freq: 29
2148. 632 - freq: 29
2149. 65a - freq: 29
2150. 65c - freq: 29
2151. 67d - freq: 29
2152. 6aa - freq: 29
2153. 6c8 - freq: 29
2154. 6fc - freq: 29
2155. 729 - freq: 29
2156. 755 - freq: 29
2157. 75f - freq: 29
2158. 7ba - freq: 29
2159. 7cc - freq: 29
2160. 7e0 - freq: 29
2161. 809 - freq: 29
2162. 82c - freq: 29
2163. 86a - freq: 29
2164. 89e - freq: 29
2165. 8aa - freq: 29
2166. 8d4 - freq: 29
2167. 901 - freq: 29
2168. 973 - freq: 29
2169. 97a - freq: 29
2170. 97e - freq: 29
2171. 986 - freq: 29
2172. 997 - freq: 29
2173. 9c9 - freq: 29
2174. =id - freq: 29
2175. =nl - freq: 29
2176. ?ra - freq: 29
2177. @/m - freq: 29
2178. a73 - freq: 29
2179. a98 - freq: 29
2180. aec - freq: 29
2181. api - freq: 29
2182. ath - freq: 29
2183. avy - freq: 29
2184. b2a - freq: 29
2185. b46 - freq: 29
2186. b8c - freq: 29
2187. b90 - freq: 29
2188. bc0 - freq: 29
2189. bec - freq: 29
2190. c03 - freq: 29
2191. c0a - freq: 29
2192. c26 - freq: 29
2193. c2d - freq: 29
2194. c78 - freq: 29
2195. c93 - freq: 29
2196. ce7 - freq: 29
2197. cio - freq: 29
2198. d1c - freq: 29
2199. d4f - freq: 29
2200. d85 - freq: 29
2201. d97 - freq: 29
2202. dba - freq: 29
2203. dc5 - freq: 29
2204. dca - freq: 29
2205. df2 - freq: 29
2206. e09 - freq: 29
2207. e68 - freq: 29
2208. e90 - freq: 29
2209. e@/ - freq: 29
2210. ebb - freq: 29
2211. ec9 - freq: 29
2212. ee/ - freq: 29
2213. eli - freq: 29
2214. en. - freq: 29
2215. ene - freq: 29
2216. eur - freq: 29
2217. f07 - freq: 29
2218. f52 - freq: 29
2219. f92 - freq: 29
2220. fe1 - freq: 29
2221. fwa - freq: 29
2222. g.p - freq: 29
2223. g/w - freq: 29
2224. he@ - freq: 29
2225. hot - freq: 29
2226. ial - freq: 29
2227. ies - freq: 29
2228. lfw - freq: 29
2229. liv - freq: 29
2230. lly - freq: 29
2231. n=9 - freq: 29
2232. nid - freq: 29
2233. nsu - freq: 29
2234. oic - freq: 29
2235. p;w - freq: 29
2236. p?r - freq: 29
2237. pa3 - freq: 29
2238. pen - freq: 29
2239. pot - freq: 29
2240. rfi - freq: 29
